run_id,mode,asset,signal,start_time,end_time,trades,win_rate,avg_pnl,total_pnl,drawdown
2026-04-16-22-49-49,2026-04-17T05:49:49.165348,2026-04-17T05:55:18.998387,3186,45.2,-8.27,687.82,-27022.95,102.5,1.77,0,17.2
2026-04-16-22-55-19,2026-04-17T05:55:19.000607,2026-04-17T05:55:23.133002,3188,45.2,-8.26,715.4,-27050.92,102.6,1.77,0,17.2
2026-04-16-22-55-23,2026-04-17T05:55:23.135603,2026-04-17T05:55:26.914868,3188,45.2,-8.26,715.4,-27050.92,102.6,1.77,0,17.2
2026-04-16-22-55-26,2026-04-17T05:55:26.918359,2026-04-17T05:56:09.566119,3194,45.3,-8.17,811.49,-26919.17,103.0,1.77,0,17.3
2026-04-16-22-56-09,2026-04-17T05:56:09.569796,2026-04-17T05:56:14.873966,3194,45.3,-8.17,811.49,-26919.17,103.0,1.77,0,17.3
2026-04-16-22-56-14,2026-04-17T05:56:14.875902,2026-04-17T05:56:19.301750,3194,45.3,-8.17,811.49,-26919.17,103.0,1.77,0,17.3
2026-04-16-22-56-19,2026-04-17T05:56:19.326349,2026-04-17T05:58:22.353464,3212,45.2,-8.24,705.29,-27183.22,102.6,1.77,0,17.2
2026-04-16-23-05-44,2026-04-17T06:05:44.380932,2026-04-17T06:06:25.383221,3218,45.2,-8.22,760.77,-27204.53,102.8,1.77,0,17.2
2026-04-17-16-11-51,2026-04-17T23:11:51.234740,2026-04-17T23:12:14.337889,5484,45.3,-8.31,-792.65,-44784.25,98.2,1.79,0,17.6
2026-04-17-16-12-14,2026-04-17T23:12:14.340136,2026-04-17T23:20:27.509169,84,47.6,-0.99,156.78,-240.29,165.2,1.68,0,14.3
2026-04-17-16-20-27,2026-04-17T23:20:27.511853,2026-04-17T23:21:05.350939,10,40.0,-22.31,-9.23,-213.86,95.7,1.56,0,20.0
2026-04-17-16-21-05,2026-04-17T23:21:05.353520,2026-04-18T00:10:19.798763,432,45.1,-2.37,443.07,-1467.69,130.2,1.64,0,16.4
2026-04-17-17-26-13,2026-04-18T00:26:13.558640,2026-04-18T00:28:09.229444,6156,45.3,-7.75,225.04,-47905.97,100.5,1.78,0,17.3
2026-04-17-17-30-25,2026-04-18T00:30:25.683755,2026-04-18T02:46:29.963079,6428,45.4,-7.6,268.29,-49148.44,100.5,1.79,0,17.4
2026-04-17-20-09-10,2026-04-18T03:09:10.371177,2026-04-18T03:10:44.344043,6670,45.4,-7.59,499.36,-51095.55,101.0,1.78,0,17.3
2026-04-17-20-10-44,2026-04-18T03:10:44.345657,2026-04-18T03:11:27.882641,2,0.0,-14.7,-20.56,-8.83,-132.8,0.5,0,0.0
2026-04-17-20-23-04,2026-04-18T03:23:04.513010,2026-04-18T03:25:30.041244,6794,45.6,-7.35,1154.75,-51064.47,102.3,1.78,0,17.4
2026-04-17-20-50-39,2026-04-18T03:50:39.723788,2026-04-18T03:53:08.822683,7020,45.4,-7.63,280.69,-53856.19,100.5,1.78,0,17.3
2026-04-17-20-53-08,2026-04-18T03:53:08.823572,2026-04-18T03:53:46.887506,8,37.5,-11.78,-33.44,-60.77,45.0,0.86,0,12.5
2026-04-17-21-06-05,2026-04-18T04:06:05.951795,2026-04-18T04:06:46.831346,7140,45.3,-7.75,-256.23,-55070.85,99.5,1.79,0,17.3
2026-04-17-21-24-29,2026-04-18T04:24:29.895907,2026-04-18T04:24:58.176874,7284,45.4,-7.75,178.12,-56596.92,100.3,1.79,0,17.3
2026-04-17-21-24-58,2026-04-18T04:24:58.182804,2026-04-18T04:36:41.830690,106,54.7,-0.2,215.57,-237.13,190.9,1.79,0,20.8
